date,halving_era,open,high,low,close,daily_change,daily_pct_change,daily_range,ma_7,ma_30,ma_200,volatility_30d,macd,macd_signal,rsi_14,is_interpolated,move_class,rsi_zone,range_band,trend,close_minmax,close_zscore,pct_zscore,range_pct
2011-02-25,Genesis Era (50 BTC/block),0.9974,0.9998,0.9111,0.9111,-0.0862999999999999,-8.65249649087627,0.0887,0.9017428571428572,0.8514066666666665,0.2834744,9.714235322196124,0.0667747814297223,0.096964639367405,54.15054490678273,False,Large Fall,Neutral,High,Above 200-MA,1.8462548269457653e-06,-0.6978338211098369,-1.3369349369681989,8.893122117505515
2011-02-26,Genesis Era (50 BTC/block),0.9111,0.97,0.9106,0.958,0.0468999999999999,5.147623751509158,0.0594,0.9030285714285714,0.8693000000000001,0.2879144,9.713481294326108,0.0642523728122173,0.0904221860563675,57.10102484109578,False,Large Rise,Neutral,Medium,Above 200-MA,2.220938303292612e-06,-0.6978322804562735,0.714687974357187,6.519591702337833
2011-02-27,Genesis Era (50 BTC/block),0.958,0.958,0.89,0.89,-0.0679999999999999,-7.098121085594984,0.0679999999999999,0.9087428571428572,0.8841000000000001,0.2920294,9.877430903965871,0.0561194045470812,0.0835616297545102,51.88738502942235,False,Large Fall,Neutral,Medium,Above 200-MA,1.6776872075231965e-06,-0.6978345142396917,-1.1058505595668224,7.098121085594979
2011-02-28,Genesis Era (50 BTC/block),0.89,0.92,0.845,0.86,-0.03,-3.3707865168539355,0.075,0.9123857142857144,0.8981333333333335,0.2959794,9.910107740236214,0.0467147210966517,0.0761922480229385,49.7300716750465,False,Fall,Neutral,High,Above 200-MA,1.438017606448454e-06,-0.6978354997323761,-0.5517187936770478,8.426966292134832
2011-03-01,Genesis Era (50 BTC/block),0.86,0.97,0.8502,0.9202,0.0602,7.000000000000004,0.1198,0.9195285714285716,0.91281,0.3002579,9.865737348501796,0.043616297070285,0.0696770578324078,53.87439336391351,False,Large Rise,Neutral,High,Above 200-MA,1.9189546059384373e-06,-0.697833522177056,0.9900752525148351,13.930232558139535
2011-03-02,Genesis Era (50 BTC/block),0.9202,0.94,0.9102,0.9399,0.0196999999999999,2.140838948054764,0.0297999999999999,0.9252285714285714,0.9268066666666668,0.3046223999999999,9.806377429703264,0.0422632150317323,0.0641942892722727,55.17667139803268,False,Rise,Neutral,Medium,Above 200-MA,2.0763376439775173e-06,-0.6978328750368598,0.2676782031491557,3.2384264290371547
2011-03-03,Genesis Era (50 BTC/block),0.9399,0.9399,0.91,0.9391,-0.0007999999999999,-0.0851154378125238,0.0298999999999999,0.9169,0.9347766666666666,0.30899145,7.6977613104427745,0.0406576582775188,0.0594869630733219,55.1086274251547,False,Flat,Neutral,Medium,Above 200-MA,2.069946454615525e-06,-0.6978329013166648,-0.06324782774035168,3.1811894882434197
2011-03-04,Genesis Era (50 BTC/block),0.9391,0.9391,0.9001,0.901,-0.0381,-4.05707592375679,0.039,0.9154571428571427,0.9409433333333334,0.31316895,7.755611714785043,0.0358970920652146,0.0547689888717005,51.830404837655536,False,Fall,Neutral,Medium,Above 200-MA,1.765566061250602e-06,-0.6978341528923739,-0.6537474025783877,4.15291236290065
2011-03-05,Genesis Era (50 BTC/block),0.901,0.9189,0.8111,0.9103,0.0092999999999999,1.0321864594894532,0.1078,0.9086428571428572,0.9482866666666666,0.31737045,7.705070697270813,0.0325001003938627,0.0503152111761329,52.57204947100984,False,Rise,Neutral,High,Above 200-MA,1.839863637583772e-06,-0.6978338473896418,0.10285812866512854,11.964483906770255
2011-03-06,Genesis Era (50 BTC/block),0.9103,0.9103,0.81,0.8999,-0.0103999999999999,-1.1424805009337542,0.1002999999999999,0.9100571428571428,0.95125,0.32152995,7.068507122956651,0.0286386385386,0.0459798966486263,51.61500112426568,False,Fall,Neutral,High,Above 200-MA,1.7567781758778615e-06,-0.6978341890271058,-0.22044315292829733,11.018345600351521
